model,input_key,input_scale,output_scale
completionformer_test.decoder_tiny_dec6_resize_conv_basicblock_nocbam_4x4_to_8x8_ckpt,fe7,256.0,128.0
completionformer_test.decoder_tiny_dec5_resize_conv_basicblock_nocbam_8x8_to_16x16_ckpt,dec5_in,128.0,32.0
completionformer_test.decoder_tiny_dec4_resize_conv_basicblock_nocbam_16x16_to_32x32_ckpt,dec4_in,64.0,16.0
completionformer_test.decoder_tiny_dec3_resize_conv_basicblock_nocbam_32x32_to_64x64_ckpt,dec3_in,16.0,32.0
completionformer_test.decoder_tiny_dec2_resize_upconv_in80_chunk0_64x64_to_128x128_ckpt,dec2_chunk0_in,32.0,8.0
completionformer_test.decoder_tiny_dec2_resize_upconv_in80_chunk1_64x64_to_128x128_ckpt,dec2_chunk1_in,32.0,8.0
completionformer_test.decoder_tiny_dec2_exact_block_conv0_128x128_ckpt,dec2_up_ref,32.0,16.0
completionformer_test.decoder_tiny_dec2_exact_block_conv1_128x128_ckpt,dec2_block0_ref,64.0,64.0
completionformer_test.head_tiny_dep_dec1_conv_relu_128x128_ckpt,head_in_ref,32.0,16.0
completionformer_test.head_tiny_dep_dec0_conv_relu_128x128_ckpt,dep_dec0_in_ref,16.0,16.0
completionformer_test.head_tiny_gd_dec1_conv_relu_128x128_ckpt,head_in_ref,32.0,4.0
completionformer_test.head_tiny_gd_dec0_conv_128x128_ckpt,gd_dec0_in_ref,32.0,2.0
completionformer_test.head_tiny_cf_dec1_conv_relu_128x128_ckpt,head_in_ref,32.0,8.0
completionformer_test.head_tiny_cf_dec0_conv_only_128x128_ckpt,cf_dec0_in_ref,16.0,8.0
